nodeID,nodetype,lat,lon
11764597553,bus,40.5679171,-74.112146
11764597554,bus,40.568602,-74.111465
11764597555,bus,40.5691063,-74.1113018
11764597556,bus,40.5700661,-74.1103506
11764597557,bus,40.5708818,-74.1091353
11764597558,bus,40.5722111,-74.1077942
11764608697,deli,40.6391663,-74.015895
11764892852,restaurant,40.6291023,-74.0285774
11765095578,hotel,40.7581149,-73.9440295
11765157033,convenience,40.6651787,-73.9898564
11766643572,cafe,40.6946861,-73.9934432
11766789572,bus,40.5789883,-74.1014767
11766789573,bus,40.5792437,-74.1007671
11766789574,bus,40.5800627,-74.1001304
11766789575,bus,40.5803175,-74.099414
11766789576,bus,40.5810947,-74.0988309
11766789577,bus,40.5814053,-74.0980421
11766789578,bus,40.5828801,-74.0965707
11766789579,bus,40.583235,-74.0957111
11766789580,bus,40.5840247,-74.0951125
11766789581,bus,40.5840607,-74.0946928
11766789582,bus,40.5850663,-74.0938162
11766789583,bus,40.5853736,-74.0930258
11766789584,bus,40.5860631,-74.0923244
11766789585,bus,40.5862707,-74.092506
11766789586,bus,40.5874514,-74.091462
11766789587,bus,40.5878333,-74.0907484
11766789588,bus,40.5887987,-74.0902556
11766789589,bus,40.5891705,-74.0895834
11766789590,bus,40.5904703,-74.0887969
11766789591,bus,40.591212,-74.0877768
11766789592,bus,40.5925306,-74.0874041
11766789593,bus,40.5924659,-74.0871386
11766789594,bus,40.5938207,-74.0868703
11766789595,bus,40.5943802,-74.0863366
11766789596,bus,40.5952291,-74.0863115
11766789597,bus,40.5961473,-74.0856042
11766789598,bus,40.5978446,-74.0841393
11766789599,bus,40.5979412,-74.0832035
11766789600,bus,40.5985013,-74.0810375
11766789601,bus,40.5986713,-74.0798369
11766789602,bus,40.5984092,-74.0791153
11766789603,bus,40.5985741,-74.0780975
11766789604,bus,40.6008276,-74.0763764
11766789605,bus,40.6012517,-74.0765863
11766789606,bus,40.6057513,-74.0765558
11766789607,bus,40.6039266,-74.0692721
11766789608,bus,40.6033861,-74.0688975
11767249473,bus,40.6224175,-74.0283735
11767249474,bus,40.5689106,-74.1066633
11767652269,restaurant,40.7326477,-73.9851944
11769036127,bank,40.856506,-73.8673334
11769036128,school,40.8457989,-73.8642309
11769036132,bank,40.8460447,-73.8629917
11769036134,restaurant,40.8479305,-73.8570287
11769036135,butcher,40.8466547,-73.8601094
11769036136,bank,40.8565181,-73.8679157
11769036138,bus,40.8476992,-73.8574045
11769062293,bus,40.5305994,-74.1581411
11769062294,bus,40.5643916,-74.1862009
11769062295,bus,40.557033,-74.203196
11769062296,bus,40.7563625,-73.9765171
11769062297,bus,40.756204,-73.9766311
11769062298,bus,40.7620239,-73.9720304
11769062299,bus,40.7538525,-73.974415
11770378819,school,40.6210456,-74.0354247
11771850460,place of worship,40.6304946,-74.0283508
11771892746,clothes,40.5864003,-73.9487464
11771951599,restaurant,40.5906697,-73.9402234
11771957325,bank,40.5915315,-73.9403852
11772057212,convenience,40.5886242,-73.9495719
11772541593,pharmacy,40.6943472,-73.9931991
11772754859,bank,40.7440211,-73.9145977
11772965583,bank,40.8152992,-73.9582237
11772965584,restaurant,40.8151875,-73.9581244
11772978389,bank,40.8156413,-73.957977
11773514752,supermarket,40.6981148,-73.9570196
11773867097,restaurant,40.7606821,-73.986622
11774131269,restaurant,40.7658115,-73.9839012
11774391700,school,40.6518592,-74.0073617
11774637881,restaurant,40.7289868,-73.9882604
11775761069,restaurant,40.7532429,-73.9922559
11776251817,cafe,40.6178859,-74.03352
11776251823,clothes,40.6211206,-74.0318491
11776371870,place of worship,40.7858059,-73.9701184
11776533245,restaurant,40.7454989,-73.9070582
11776556009,convenience,40.7447987,-73.9097451
